tokens,words,graphemes,bytes,tokenizer,language
25,15,88,88,gpt2,eng
44,36,225,225,gpt2,eng
31,28,166,166,gpt2,eng
60,50,315,315,gpt2,eng
37,29,175,175,gpt2,eng
29,20,130,130,gpt2,eng
10,8,35,35,gpt2,eng
24,21,128,128,gpt2,eng
15,10,67,67,gpt2,eng
15,12,81,81,gpt2,eng
27,24,166,166,gpt2,eng
29,23,150,150,gpt2,eng
30,24,133,133,gpt2,eng
32,28,175,175,gpt2,eng
41,33,213,213,gpt2,eng
45,39,254,254,gpt2,eng
42,34,195,197,gpt2,eng
25,18,117,117,gpt2,eng
29,24,157,157,gpt2,eng
58,42,275,277,gpt2,eng
18,14,95,95,gpt2,eng
14,11,79,79,gpt2,eng
37,22,187,187,gpt2,eng
40,31,191,193,gpt2,eng
28,24,151,151,gpt2,eng
18,16,107,108,gpt2,eng
23,19,131,131,gpt2,eng
33,27,190,190,gpt2,eng
27,16,109,109,gpt2,eng
13,12,69,69,gpt2,eng
51,40,251,255,gpt2,eng
49,42,253,253,gpt2,eng
29,24,136,136,gpt2,eng
27,23,152,152,gpt2,eng
13,11,72,72,gpt2,eng
18,14,91,91,gpt2,eng
39,34,190,190,gpt2,eng
24,19,115,115,gpt2,eng
19,15,91,91,gpt2,eng
14,10,60,60,gpt2,eng
24,21,112,112,gpt2,eng
23,11,72,72,gpt2,eng
33,21,128,128,gpt2,eng
27,19,128,128,gpt2,eng
28,22,120,120,gpt2,eng
32,25,143,143,gpt2,eng
27,24,125,125,gpt2,eng
22,19,96,96,gpt2,eng
19,16,100,100,gpt2,eng
27,22,146,146,gpt2,eng
14,11,61,61,gpt2,eng
30,27,149,149,gpt2,eng
26,25,138,138,gpt2,eng
27,26,151,151,gpt2,eng
41,35,230,232,gpt2,eng
37,29,195,195,gpt2,eng
39,34,204,204,gpt2,eng
33,28,194,194,gpt2,eng
19,18,136,136,gpt2,eng
12,11,60,60,gpt2,eng
28,25,133,133,gpt2,eng
19,18,111,111,gpt2,eng
33,29,156,156,gpt2,eng
34,29,185,185,gpt2,eng
24,21,133,133,gpt2,eng
26,20,103,103,gpt2,eng
26,15,107,107,gpt2,eng
24,18,100,100,gpt2,eng
27,19,114,114,gpt2,eng
31,25,157,157,gpt2,eng
22,20,107,107,gpt2,eng
47,36,220,220,gpt2,eng
37,29,196,196,gpt2,eng
50,44,255,255,gpt2,eng
37,31,186,186,gpt2,eng
31,25,162,162,gpt2,eng
35,29,189,189,gpt2,eng
22,19,120,120,gpt2,eng
13,8,56,56,gpt2,eng
31,23,160,160,gpt2,eng
23,18,116,116,gpt2,eng
20,16,90,90,gpt2,eng
22,17,107,107,gpt2,eng
33,25,148,148,gpt2,eng
14,12,60,60,gpt2,eng
24,17,117,117,gpt2,eng
43,33,176,176,gpt2,eng
26,23,150,150,gpt2,eng
23,19,122,122,gpt2,eng
27,24,133,133,gpt2,eng
30,24,124,124,gpt2,eng
22,21,119,119,gpt2,eng
31,28,140,140,gpt2,eng
11,9,58,58,gpt2,eng
28,23,139,139,gpt2,eng
20,15,101,101,gpt2,eng
21,19,125,125,gpt2,eng
34,16,118,118,gpt2,eng
25,21,121,121,gpt2,eng
26,21,124,124,gpt2,eng
17,14,74,74,gpt2,eng
42,32,189,189,gpt2,eng
34,25,154,154,gpt2,eng
11,10,65,65,gpt2,eng
20,19,99,99,gpt2,eng
20,16,100,100,gpt2,eng
13,12,67,67,gpt2,eng
37,33,201,201,gpt2,eng
50,36,216,216,gpt2,eng
18,13,79,79,gpt2,eng
25,13,94,94,gpt2,eng
15,14,70,70,gpt2,eng
14,13,70,70,gpt2,eng
17,13,80,80,gpt2,eng
31,28,202,202,gpt2,eng
27,22,143,143,gpt2,eng
31,28,169,169,gpt2,eng
29,23,130,131,gpt2,eng
14,11,64,64,gpt2,eng
35,28,164,164,gpt2,eng
41,27,161,162,gpt2,eng
39,31,184,184,gpt2,eng
16,14,94,94,gpt2,eng
16,13,63,63,gpt2,eng
21,20,107,107,gpt2,eng
30,27,155,155,gpt2,eng
11,10,55,55,gpt2,eng
31,24,163,163,gpt2,eng
25,20,109,109,gpt2,eng
19,13,96,96,gpt2,eng
25,19,113,115,gpt2,eng
33,32,207,207,gpt2,eng
32,30,173,173,gpt2,eng
19,13,85,85,gpt2,eng
23,14,74,74,gpt2,eng
19,16,95,95,gpt2,eng
14,10,57,57,gpt2,eng
21,19,113,113,gpt2,eng
17,14,97,97,gpt2,eng
25,19,118,118,gpt2,eng
28,25,145,145,gpt2,eng
36,29,179,179,gpt2,eng
20,18,112,112,gpt2,eng
22,18,93,93,gpt2,eng
24,21,99,99,gpt2,eng
35,23,172,172,gpt2,eng
24,17,123,123,gpt2,eng
24,21,121,121,gpt2,eng
21,19,107,107,gpt2,eng
19,16,84,84,gpt2,eng
29,22,142,142,gpt2,eng
37,26,163,163,gpt2,eng
34,27,147,147,gpt2,eng
27,23,126,126,gpt2,eng
21,19,136,136,gpt2,eng
27,25,140,140,gpt2,eng
39,38,202,202,gpt2,eng
20,18,95,95,gpt2,eng
30,24,126,126,gpt2,eng
19,17,104,104,gpt2,eng
16,14,77,77,gpt2,eng
63,52,327,327,gpt2,eng
37,29,189,189,gpt2,eng
23,20,120,120,gpt2,eng
10,8,62,62,gpt2,eng
44,40,228,228,gpt2,eng
30,25,177,177,gpt2,eng
30,20,127,127,gpt2,eng
32,31,183,183,gpt2,eng
23,19,109,109,gpt2,eng
30,23,132,132,gpt2,eng
16,11,73,73,gpt2,eng
13,11,71,71,gpt2,eng
22,15,117,117,gpt2,eng
37,26,153,153,gpt2,eng
16,11,79,79,gpt2,eng
33,25,149,149,gpt2,eng
24,18,97,97,gpt2,eng
15,9,56,56,gpt2,eng
20,18,88,88,gpt2,eng
26,21,122,122,gpt2,eng
17,11,68,68,gpt2,eng
25,21,143,143,gpt2,eng
32,21,120,120,gpt2,eng
40,31,163,163,gpt2,eng
27,21,139,139,gpt2,eng
16,10,66,66,gpt2,eng
25,18,129,129,gpt2,eng
26,14,92,92,gpt2,eng
33,25,136,136,gpt2,eng
24,21,122,122,gpt2,eng
29,21,155,155,gpt2,eng
30,26,170,170,gpt2,eng
52,46,256,256,gpt2,eng
19,14,77,77,gpt2,eng
16,14,98,98,gpt2,eng
44,35,198,198,gpt2,eng
56,49,327,327,gpt2,eng
20,18,110,110,gpt2,eng
20,18,102,102,gpt2,eng
41,29,188,188,gpt2,eng
37,21,159,159,gpt2,eng
35,22,143,143,gpt2,eng
53,28,197,197,gpt2,eng
31,25,155,155,gpt2,eng
37,27,165,165,gpt2,eng
21,18,106,106,gpt2,eng
29,24,176,176,gpt2,eng
24,17,105,105,gpt2,eng
12,11,87,87,gpt2,eng
17,15,83,83,gpt2,eng
22,20,143,143,gpt2,eng
13,12,75,75,gpt2,eng
23,16,84,84,gpt2,eng
25,21,125,125,gpt2,eng
28,26,153,153,gpt2,eng
14,12,71,71,gpt2,eng
22,19,117,117,gpt2,eng
24,19,115,117,gpt2,eng
23,21,124,124,gpt2,eng
11,10,73,73,gpt2,eng
16,14,88,88,gpt2,eng
24,22,122,122,gpt2,eng
20,17,101,101,gpt2,eng
12,9,64,64,gpt2,eng
16,15,78,78,gpt2,eng
23,22,125,125,gpt2,eng
21,20,93,93,gpt2,eng
25,20,106,106,gpt2,eng
18,16,89,89,gpt2,eng
19,10,56,56,gpt2,eng
25,14,95,95,gpt2,eng
48,24,163,163,gpt2,eng
17,10,56,56,gpt2,eng
44,27,163,163,gpt2,eng
32,15,102,102,gpt2,eng
31,24,172,172,gpt2,eng
30,21,153,153,gpt2,eng
20,19,109,109,gpt2,eng
23,16,90,90,gpt2,eng
33,28,156,156,gpt2,eng
25,21,130,130,gpt2,eng
25,18,102,104,gpt2,eng
20,17,81,81,gpt2,eng
25,21,125,125,gpt2,eng
15,13,71,71,gpt2,eng
25,20,112,112,gpt2,eng
64,52,282,282,gpt2,eng
35,28,158,158,gpt2,eng
26,16,111,111,gpt2,eng
33,27,153,153,gpt2,eng
20,18,110,110,gpt2,eng
27,21,140,140,gpt2,eng
10,8,56,56,gpt2,eng
14,13,77,77,gpt2,eng
29,26,144,144,gpt2,eng
23,19,118,118,gpt2,eng
22,20,125,125,gpt2,eng
20,16,100,100,gpt2,eng
25,20,130,130,gpt2,eng
27,22,115,115,gpt2,eng
19,17,103,103,gpt2,eng
16,12,63,63,gpt2,eng
15,14,57,57,gpt2,eng
22,21,127,127,gpt2,eng
40,35,184,184,gpt2,eng
29,21,135,135,gpt2,eng
35,29,153,153,gpt2,eng
19,15,92,92,gpt2,eng
28,15,97,97,gpt2,eng
24,18,125,125,gpt2,eng
36,29,168,168,gpt2,eng
16,11,67,67,gpt2,eng
17,12,90,90,gpt2,eng
33,28,137,137,gpt2,eng
72,46,278,279,gpt2,eng
36,29,148,148,gpt2,eng
13,11,71,71,gpt2,eng
28,23,134,134,gpt2,eng
30,16,98,98,gpt2,eng
19,14,100,100,gpt2,eng
19,17,93,93,gpt2,eng
11,9,59,59,gpt2,eng
21,20,120,120,gpt2,eng
17,12,76,76,gpt2,eng
14,9,69,69,gpt2,eng
16,13,81,81,gpt2,eng
24,22,135,135,gpt2,eng
25,23,155,155,gpt2,eng
28,24,150,150,gpt2,eng
28,24,150,150,gpt2,eng
30,24,143,143,gpt2,eng
22,21,130,130,gpt2,eng
30,29,163,163,gpt2,eng
27,23,150,150,gpt2,eng
35,25,182,182,gpt2,eng
36,29,208,208,gpt2,eng
19,13,86,86,gpt2,eng
12,8,41,41,gpt2,eng
27,24,152,152,gpt2,eng
19,13,98,98,gpt2,eng
18,14,96,96,gpt2,eng
28,23,142,142,gpt2,eng
27,21,122,122,gpt2,eng
27,19,132,132,gpt2,eng
18,12,89,89,gpt2,eng
29,13,78,78,gpt2,eng
18,16,105,105,gpt2,eng
18,13,82,82,gpt2,eng
24,21,129,129,gpt2,eng
15,9,52,52,gpt2,eng
